,openvpn_vpn,no_vpn,wireguard_vpn,ipsec_vpn
count,180.0,180.0,180.0,180.0
mean,41.94617777777778,44.60313333333333,42.71655555555555,41.34789444444444
std,2.352122035264573,2.016185247984407,2.1076978444739765,2.6167486852071233
min,26.191,35.727,32.981,16.042
25%,41.7645,44.554,42.635,41.41975
50%,41.923500000000004,44.8895,42.941500000000005,41.721999999999994
75%,42.08625,45.21825,43.33775,42.15275
max,54.675,58.375,56.856,50.234
