start,openvpn_vpn,no_vpn,wireguard_vpn,ipsec_vpn
0.0,34.472,58.375,56.856,16.042
1.0,37.297,45.908,43.356,40.817
2.0,54.675,45.1,42.604,45.281
3.0,45.0,44.862,44.062,43.35
4.0,42.09,44.727,42.602,41.881
5.0,42.162,39.727,42.592,41.829
6.0,41.847,46.54,42.732,42.045
7.0,42.083,45.603,42.597,41.728
8.0,41.815,45.204,42.654,41.854
9.0,41.814,45.013,42.622,41.478
10.0,41.916,40.961,42.513,43.332
11.0,42.258,45.28,43.749,43.838
12.0,41.591,45.038,42.646,44.507
13.0,42.355,44.914,36.063,35.304
14.0,41.926,44.663,46.345,42.608
15.0,41.992,44.626,43.83,42.08
16.0,41.754,44.557,43.439,41.559
17.0,41.89,44.514,43.303,41.627
18.0,42.259,44.58,43.009,41.471
19.0,41.548,44.75,38.273,41.478
20.0,42.165,44.819,43.452,41.461
21.0,41.917,44.997,44.262,41.814
22.0,42.097,41.622,42.638,41.389
23.0,41.918,45.646,42.635,41.348
24.0,41.755,45.386,42.625,41.859
25.0,42.206,45.037,42.631,41.818
26.0,41.594,44.972,42.647,42.25
27.0,41.969,44.669,42.661,42.547
28.0,42.235,44.555,42.601,42.82
29.0,41.885,44.44,42.763,38.292
30.0,41.965,44.785,43.082,42.421
31.0,41.971,44.476,43.198,42.522
32.0,41.689,44.511,43.478,42.207
33.0,42.28,44.484,38.866,42.287
34.0,41.587,45.013,43.917,41.381
35.0,42.341,45.199,43.578,37.457
36.0,41.945,45.468,43.391,42.232
37.0,41.716,40.572,43.01,41.913
38.0,42.068,45.933,42.828,42.793
39.0,41.725,45.672,38.412,41.43
40.0,42.105,45.369,43.458,41.39
41.0,42.056,45.045,43.224,41.392
42.0,41.57,44.882,42.971,41.42
43.0,35.832,40.083,42.887,41.412
44.0,26.191,45.318,42.698,41.384
45.0,40.863,45.092,43.02,41.438
46.0,45.214,44.897,42.634,41.4
47.0,43.27,44.755,42.637,42.016
48.0,47.181,44.556,42.622,42.135
49.0,54.017,44.567,42.7,37.906
50.0,41.896,44.507,43.066,42.688
51.0,41.756,44.489,43.433,42.297
52.0,42.246,44.721,40.09,42.623
53.0,37.731,44.746,42.344,41.328
54.0,45.871,44.93,43.801,36.774
55.0,41.779,45.215,43.586,42.291
56.0,40.847,40.526,36.878,41.851
57.0,42.126,45.712,45.379,42.064
58.0,42.744,45.846,43.251,41.453
59.0,41.968,46.754,43.002,41.627
60.0,39.135,44.503,42.85,41.442
61.0,40.521,44.526,42.785,41.684
62.0,46.07,35.902,42.738,41.407
63.0,41.97,49.231,42.658,41.356
64.0,41.756,45.176,42.595,41.394
65.0,42.075,44.942,42.871,41.628
66.0,42.044,44.83,42.678,41.914
67.0,41.881,44.849,43.031,42.17
68.0,41.798,44.53,43.24,37.6
69.0,41.715,44.51,43.498,42.66
70.0,42.031,44.529,36.709,42.667
71.0,41.837,44.554,46.095,42.071
72.0,35.787,44.631,43.718,41.955
73.0,48.231,44.965,43.445,42.68
74.0,41.905,45.115,43.336,36.325
75.0,42.016,45.467,42.919,42.147
76.0,41.79,40.64,38.518,42.055
77.0,42.11,45.901,43.511,41.77
78.0,41.781,45.518,43.126,41.614
79.0,41.919,45.266,43.068,41.502
80.0,41.967,45.038,42.702,41.761
81.0,41.889,44.903,42.79,41.396
82.0,42.085,40.241,42.626,41.448
83.0,41.883,45.263,42.634,41.386
84.0,41.992,45.096,42.632,41.426
85.0,41.985,44.803,42.751,41.668
86.0,41.921,44.747,42.97,41.917
87.0,41.62,44.958,43.105,42.296
88.0,42.169,44.54,43.332,37.717
89.0,41.664,44.539,35.853,42.579
90.0,42.051,44.492,47.135,42.482
91.0,42.038,44.53,43.445,42.108
92.0,41.82,44.749,43.507,42.017
93.0,41.946,45.067,43.265,41.717
94.0,42.14,45.279,43.085,41.613
95.0,41.644,40.454,38.301,37.433
96.0,42.167,45.963,43.502,42.192
97.0,41.969,45.743,43.119,41.839
98.0,41.937,45.348,43.073,41.727
99.0,41.873,45.142,42.912,41.581
100.0,42.022,45.029,42.675,41.438
101.0,41.781,39.898,42.689,41.616
102.0,42.069,45.393,43.269,41.472
103.0,41.632,45.164,42.583,41.414
104.0,42.227,44.961,42.632,41.42
105.0,41.756,44.715,42.672,41.567
106.0,42.117,44.678,42.675,41.857
107.0,41.867,44.59,43.262,42.102
108.0,41.721,44.496,43.583,34.384
109.0,41.931,44.559,38.853,42.176
110.0,42.211,44.653,43.919,41.852
111.0,41.84,44.84,43.614,41.752
112.0,41.733,44.899,43.254,41.63
113.0,41.865,45.216,43.15,41.652
114.0,42.283,43.936,42.936,41.279
115.0,41.747,42.298,38.504,41.4
116.0,42.108,45.841,43.415,41.426
117.0,41.897,45.465,43.198,41.405
118.0,41.67,45.205,42.947,41.64
119.0,41.965,45.495,43.115,41.786
120.0,41.994,35.727,42.678,42.003
121.0,41.931,49.118,42.624,42.435
122.0,41.946,45.225,42.624,42.364
