start,openvpn_vpn,no_vpn,wireguard_vpn,ipsec_vpn
123.0,41.881,44.977,42.629,42.918
124.0,35.915,44.753,42.779,30.629
125.0,48.143,44.68,43.673,50.234
126.0,41.761,44.552,42.605,42.537
127.0,41.765,44.69,42.927,42.296
128.0,42.065,44.548,38.831,42.089
129.0,41.939,44.515,43.918,41.743
130.0,42.044,44.727,43.793,37.404
131.0,42.022,44.945,43.417,42.173
132.0,41.947,45.173,43.271,41.948
133.0,41.789,45.465,42.967,42.279
134.0,41.678,40.583,38.471,41.376
135.0,42.184,45.892,43.427,41.399
136.0,41.92,45.591,43.16,41.419
137.0,41.974,45.273,43.034,41.413
138.0,41.905,45.022,42.908,41.33
139.0,41.704,44.772,42.625,41.441
140.0,42.242,40.399,42.635,41.528
141.0,41.805,45.293,42.664,41.844
142.0,41.808,45.039,42.702,42.05
143.0,41.985,44.773,42.62,42.238
144.0,42.096,44.851,42.869,37.829
145.0,38.522,44.499,43.094,42.717
146.0,45.432,44.608,43.343,42.311
147.0,41.825,44.49,38.961,42.055
148.0,41.679,44.554,43.686,41.823
149.0,42.272,44.653,43.835,37.292
150.0,41.836,44.92,43.528,42.484
151.0,41.638,45.094,43.242,42.012
152.0,42.007,45.324,43.125,41.715
153.0,41.835,40.465,32.981,41.708
154.0,42.136,45.956,48.812,41.427
155.0,42.057,45.663,43.176,41.381
156.0,41.909,45.38,43.071,41.394
157.0,41.758,45.103,42.799,41.399
158.0,42.126,44.858,42.774,41.455
159.0,41.914,40.079,42.7,41.615
160.0,41.948,45.413,42.924,41.77
161.0,41.763,45.173,42.656,41.863
162.0,41.866,44.898,42.624,42.263
163.0,42.105,44.731,42.648,37.527
164.0,41.664,44.643,42.997,42.637
165.0,42.181,44.548,43.251,42.46
166.0,41.786,44.564,43.523,42.2
167.0,41.983,44.584,38.928,41.978
168.0,41.754,44.54,44.081,41.716
169.0,42.06,44.828,43.472,41.557
170.0,41.766,45.101,43.299,37.225
171.0,42.277,45.1,43.166,42.204
172.0,41.844,40.872,42.865,41.961
173.0,41.845,45.504,38.668,41.802
174.0,42.032,45.902,43.376,41.625
175.0,41.754,45.325,43.146,41.505
176.0,38.324,45.146,42.947,41.423
177.0,45.549,45.04,42.778,41.448
178.0,41.938,40.034,42.762,41.536
179.0,41.875,45.37,42.615,41.363
