,openvpn_vpn,no_vpn,wireguard_vpn,ipsec_vpn
count,60.0,60.0,60.0,60.0
mean,41.94733333333333,44.57635,42.68153333333334,41.44061666666666
std,0.9252981684651564,0.6824083926848933,0.6801913854967253,0.7223258828765909
min,37.983,42.625,40.763,39.75
25%,41.90875,44.26525,42.367000000000004,41.0115
50%,41.952,44.6285,42.673500000000004,41.3575
75%,41.9855,44.773250000000004,42.8665,41.68075
max,46.029,47.796,45.719,44.241
